DEPTH;RV;TIME_INDEX;DATES
486.5;0.96626;2;31.Jan.2022
487.0;0.96759;2;31.Jan.2022
487.5;0.96885;2;31.Jan.2022
488.0;0.97004;2;31.Jan.2022
488.5;0.97117;2;31.Jan.2022
489.0;0.97224;2;31.Jan.2022
489.5;0.97325;2;31.Jan.2022
490.0;0.9742;2;31.Jan.2022
490.5;0.97509;2;31.Jan.2022
491.0;0.97592;2;31.Jan.2022
491.5;0.9767;2;31.Jan.2022
492.0;0.97743;2;31.Jan.2022
492.5;0.9781;2;31.Jan.2022
493.0;0.97873;2;31.Jan.2022
493.5;0.9793;2;31.Jan.2022
494.0;0.97983;2;31.Jan.2022
494.5;0.98031;2;31.Jan.2022
495.0;0.98074;2;31.Jan.2022
495.5;0.98113;2;31.Jan.2022
496.0;0.98147;2;31.Jan.2022
496.5;0.98177;2;31.Jan.2022
497.0;0.98203;2;31.Jan.2022
497.5;0.98224;2;31.Jan.2022
498.0;0.98241;2;31.Jan.2022
498.5;0.98253;2;31.Jan.2022
499.0;0.98262;2;31.Jan.2022
499.5;0.98266;2;31.Jan.2022
400.0;0.42145;3;02.Jan.2023
400.5;0.42147;3;02.Jan.2023
401.0;0.42151;3;02.Jan.2023
401.5;0.42157;3;02.Jan.2023
402.0;0.42165;3;02.Jan.2023
402.5;0.42175;3;02.Jan.2023
403.0;0.42186;3;02.Jan.2023
403.5;0.422;3;02.Jan.2023
404.0;0.42216;3;02.Jan.2023
404.5;0.42233;3;02.Jan.2023
405.0;0.42252;3;02.Jan.2023
405.5;0.42274;3;02.Jan.2023
406.0;0.42297;3;02.Jan.2023
406.5;0.42322;3;02.Jan.2023
407.0;0.42349;3;02.Jan.2023
407.5;0.42378;3;02.Jan.2023
408.0;0.42409;3;02.Jan.2023
408.5;0.42442;3;02.Jan.2023
409.0;0.42476;3;02.Jan.2023
409.5;0.42513;3;02.Jan.2023
410.0;0.42551;3;02.Jan.2023
410.5;0.42591;3;02.Jan.2023
411.0;0.42633;3;02.Jan.2023
411.5;0.42677;3;02.Jan.2023
412.0;0.42723;3;02.Jan.2023
412.5;0.4277;3;02.Jan.2023
413.0;0.4282;3;02.Jan.2023
413.5;0.42871;3;02.Jan.2023
414.0;0.42923;3;02.Jan.2023
414.5;0.42978;3;02.Jan.2023
415.0;0.43034;3;02.Jan.2023
415.5;0.43092;3;02.Jan.2023
416.0;0.43152;3;02.Jan.2023
416.5;0.43214;3;02.Jan.2023
417.0;0.43277;3;02.Jan.2023
417.5;0.43342;3;02.Jan.2023
418.0;0.43408;3;02.Jan.2023
418.5;0.43476;3;02.Jan.2023
419.0;0.43546;3;02.Jan.2023
419.5;0.43617;3;02.Jan.2023
420.0;0.4369;3;02.Jan.2023
420.5;0.43764;3;02.Jan.2023
421.0;0.4384;3;02.Jan.2023
421.5;0.43918;3;02.Jan.2023
422.0;0.43997;3;02.Jan.2023
422.5;0.44078;3;02.Jan.2023
423.0;0.4416;3;02.Jan.2023
423.5;0.44243;3;02.Jan.2023
424.0;0.44328;3;02.Jan.2023
424.5;0.44414;3;02.Jan.2023
425.0;0.44502;3;02.Jan.2023
425.5;0.44591;3;02.Jan.2023
426.0;0.44681;3;02.Jan.2023
426.5;0.44773;3;02.Jan.2023
427.0;0.44866;3;02.Jan.2023
427.5;0.4496;3;02.Jan.2023
428.0;0.45056;3;02.Jan.2023
428.5;0.45153;3;02.Jan.2023
429.0;0.45251;3;02.Jan.2023
429.5;0.4535;3;02.Jan.2023
430.0;0.4545;3;02.Jan.2023
430.5;0.45552;3;02.Jan.2023
431.0;0.45654;3;02.Jan.2023
431.5;0.45758;3;02.Jan.2023
432.0;0.45862;3;02.Jan.2023
432.5;0.45968;3;02.Jan.2023
433.0;0.46075;3;02.Jan.2023
433.5;0.46183;3;02.Jan.2023
434.0;0.46291;3;02.Jan.2023
434.5;0.46401;3;02.Jan.2023
435.0;0.46511;3;02.Jan.2023
435.5;0.46623;3;02.Jan.2023
436.0;0.46735;3;02.Jan.2023
436.5;0.46848;3;02.Jan.2023
437.0;0.46962;3;02.Jan.2023
437.5;0.47076;3;02.Jan.2023
438.0;0.47191;3;02.Jan.2023
438.5;0.47307;3;02.Jan.2023
439.0;0.47424;3;02.Jan.2023
439.5;0.47541;3;02.Jan.2023
440.0;0.47659;3;02.Jan.2023
440.5;0.47778;3;02.Jan.2023
441.0;0.47897;3;02.Jan.2023
441.5;0.48016;3;02.Jan.2023
442.0;0.48136;3;02.Jan.2023
442.5;0.48257;3;02.Jan.2023
443.0;0.48378;3;02.Jan.2023
443.5;0.48499;3;02.Jan.2023
444.0;0.48621;3;02.Jan.2023
444.5;0.48743;3;02.Jan.2023
445.0;0.48865;3;02.Jan.2023
445.5;0.48988;3;02.Jan.2023
446.0;0.49111;3;02.Jan.2023
446.5;0.49234;3;02.Jan.2023
447.0;0.49358;3;02.Jan.2023
447.5;0.49481;3;02.Jan.2023
448.0;0.49605;3;02.Jan.2023
448.5;0.49729;3;02.Jan.2023
449.0;0.49853;3;02.Jan.2023
449.5;0.49977;3;02.Jan.2023
450.0;0.50101;3;02.Jan.2023
450.5;0.50225;3;02.Jan.2023
451.0;0.50348;3;02.Jan.2023
451.5;0.50472;3;02.Jan.2023
452.0;0.50596;3;02.Jan.2023
452.5;0.50719;3;02.Jan.2023
