DEPTH;PRESSURE;TIME_INDEX;DATES
435.5;40.02065;3;02.Jan.2023
436.0;40.02133;3;02.Jan.2023
436.5;40.02202;3;02.Jan.2023
437.0;40.02271;3;02.Jan.2023
437.5;40.0234;3;02.Jan.2023
438.0;40.02409;3;02.Jan.2023
438.5;40.02478;3;02.Jan.2023
439.0;40.02547;3;02.Jan.2023
439.5;40.02617;3;02.Jan.2023
440.0;40.02687;3;02.Jan.2023
440.5;40.02757;3;02.Jan.2023
441.0;40.02826;3;02.Jan.2023
441.5;40.02896;3;02.Jan.2023
442.0;40.02967;3;02.Jan.2023
442.5;40.03037;3;02.Jan.2023
443.0;40.03107;3;02.Jan.2023
443.5;40.03178;3;02.Jan.2023
444.0;40.03249;3;02.Jan.2023
444.5;40.0332;3;02.Jan.2023
445.0;40.03391;3;02.Jan.2023
445.5;40.03462;3;02.Jan.2023
446.0;40.03534;3;02.Jan.2023
