DEPTH;GAS_DEN;TIME_INDEX;DATES
428.0;13.49064;3;02.Jan.2023
428.5;13.51353;3;02.Jan.2023
429.0;13.5367;3;02.Jan.2023
429.5;13.56015;3;02.Jan.2023
430.0;13.58388;3;02.Jan.2023
430.5;13.60786;3;02.Jan.2023
431.0;13.63211;3;02.Jan.2023
431.5;13.65662;3;02.Jan.2023
432.0;13.68137;3;02.Jan.2023
432.5;13.70636;3;02.Jan.2023
433.0;13.73159;3;02.Jan.2023
433.5;13.75705;3;02.Jan.2023
434.0;13.78273;3;02.Jan.2023
434.5;13.80864;3;02.Jan.2023
435.0;13.83475;3;02.Jan.2023
435.5;13.86107;3;02.Jan.2023
436.0;13.88759;3;02.Jan.2023
436.5;13.9143;3;02.Jan.2023
437.0;13.94119;3;02.Jan.2023
437.5;13.96826;3;02.Jan.2023
438.0;13.99551;3;02.Jan.2023
438.5;14.02292;3;02.Jan.2023
439.0;14.05049;3;02.Jan.2023
439.5;14.07822;3;02.Jan.2023
440.0;14.10608;3;02.Jan.2023
440.5;14.13409;3;02.Jan.2023
441.0;14.16223;3;02.Jan.2023
441.5;14.1905;3;02.Jan.2023
442.0;14.21888;3;02.Jan.2023
442.5;14.24737;3;02.Jan.2023
443.0;14.27597;3;02.Jan.2023
443.5;14.30467;3;02.Jan.2023
444.0;14.33345;3;02.Jan.2023
444.5;14.36232;3;02.Jan.2023
445.0;14.39127;3;02.Jan.2023
445.5;14.42028;3;02.Jan.2023
446.0;14.44936;3;02.Jan.2023
