M:\Spring_2022\H2_Project\Case_3_Final\H2_H2O_Case3_noPC_final_v13_volmodifier.sr3
Time (day);{15, 1, 26}-Gas Saturation;{15, 1, 1}-Gas Saturation
17.208334;5.48866E-07;5.35988E-07
17.25;5.48674E-07;5.35795E-07
17.291666;5.48483E-07;5.35602E-07
17.333334;5.48294E-07;5.35412E-07
17.375;5.48107E-07;5.35222E-07
17.416666;5.47921E-07;5.35035E-07
17.458334;5.47737E-07;5.34849E-07
17.5;5.47555E-07;5.34666E-07
17.541666;5.47375E-07;5.34484E-07
17.583334;5.47196E-07;5.34304E-07
17.625;5.4702E-07;5.34126E-07
17.666666;5.46845E-07;5.3395E-07
17.708334;5.46672E-07;5.33775E-07
17.75;5.46501E-07;5.33603E-07
17.791666;5.46332E-07;5.33432E-07
17.833334;5.46164E-07;5.33263E-07
17.875;5.45998E-07;5.33095E-07
17.916666;5.45833E-07;5.32929E-07
17.958334;5.45671E-07;5.32765E-07
18;5.4551E-07;5.32603E-07
18.041666;5.45352E-07;5.32443E-07
18.083334;5.45195E-07;5.32285E-07
18.125;5.4504E-07;5.32129E-07
18.166666;5.44887E-07;5.31975E-07
18.208334;5.44736E-07;5.31822E-07
18.25;5.44586E-07;5.31671E-07
18.291666;5.44438E-07;5.31521E-07
18.333334;5.44291E-07;5.31374E-07
18.375;5.44147E-07;5.31228E-07
18.416666;5.44003E-07;5.31083E-07
18.458334;5.43861E-07;5.3094E-07
18.5;5.43721E-07;5.30798E-07
18.541666;5.43582E-07;5.30658E-07
18.583334;5.4344E-07;5.30515E-07
18.625;5.43298E-07;5.30372E-07
18.666666;5.43157E-07;5.3023E-07
18.708334;5.43018E-07;5.30089E-07
18.75;5.42885E-07;5.29956E-07
18.791666;5.42756E-07;5.29825E-07
18.833334;5.42628E-07;5.29696E-07
18.875;5.42501E-07;5.29568E-07
18.916666;5.42376E-07;5.29442E-07
18.958334;5.42252E-07;5.29316E-07
19;5.42129E-07;5.29193E-07
19.041666;5.42007E-07;5.2907E-07
19.083334;5.41887E-07;5.28948E-07
19.125;5.41768E-07;5.28828E-07
19.166666;5.4165E-07;5.2871E-07
19.208334;5.41534E-07;5.28593E-07
19.25;5.4142E-07;5.28478E-07
19.291666;5.41307E-07;5.28364E-07
19.333334;5.41195E-07;5.28251E-07
19.375;5.41085E-07;5.28139E-07
19.416666;5.40975E-07;5.28029E-07
19.458334;5.40862E-07;5.27914E-07
19.5;5.40748E-07;5.27799E-07
19.541666;5.40634E-07;5.27685E-07
19.583334;5.40522E-07;5.27572E-07
19.625;5.40415E-07;5.27464E-07
19.666666;5.40311E-07;5.27359E-07
19.708334;5.40208E-07;5.27255E-07
19.75;5.40104E-07;5.27151E-07
19.791666;5.40001E-07;5.27047E-07
19.833334;5.39898E-07;5.26943E-07
19.875;5.39795E-07;5.26839E-07
19.916666;5.39692E-07;5.26735E-07
19.958334;5.39591E-07;5.26633E-07
20;5.3949E-07;5.26531E-07
20.041666;5.3939E-07;5.2643E-07
20.083334;5.3929E-07;5.2633E-07
20.125;5.39191E-07;5.2623E-07
20.166666;5.39092E-07;5.2613E-07
20.208334;5.38994E-07;5.26031E-07
20.25;5.38896E-07;5.25932E-07
20.291666;5.38799E-07;5.25834E-07
20.333334;5.38702E-07;5.25737E-07
20.375;5.38606E-07;5.2564E-07
20.416666;5.38511E-07;5.25544E-07
20.458334;5.38415E-07;5.25447E-07
20.5;5.3832E-07;5.25351E-07
20.541666;5.38224E-07;5.25255E-07
20.583334;5.38128E-07;5.25158E-07
20.625;5.38033E-07;5.25062E-07
20.666666;5.37937E-07;5.24965E-07
20.708334;5.37841E-07;5.24868E-07
20.75;5.37741E-07;5.24767E-07
20.791666;5.3764E-07;5.24666E-07
20.833334;5.37538E-07;5.24563E-07
20.875;5.37437E-07;5.24461E-07
20.916666;5.37335E-07;5.24358E-07
20.958334;5.37233E-07;5.24255E-07
21;5.3713E-07;5.24152E-07
21.041666;5.37027E-07;5.24048E-07
21.083334;5.36924E-07;5.23944E-07
21.125;5.3682E-07;5.23839E-07
21.166666;5.36716E-07;5.23734E-07
21.208334;5.36611E-07;5.23629E-07
21.25;5.36506E-07;5.23523E-07
21.291666;5.36401E-07;5.23417E-07
21.333334;5.36296E-07;5.23311E-07
21.375;5.36191E-07;5.23205E-07
21.416666;5.36086E-07;5.231E-07
21.458334;5.35981E-07;5.22994E-07
21.5;5.35877E-07;5.22889E-07
21.541666;5.35772E-07;5.22783E-07
21.583334;5.35667E-07;5.22677E-07
21.625;5.35562E-07;5.22571E-07
21.666666;5.35456E-07;5.22465E-07
21.708334;5.3535E-07;5.22358E-07
21.75;5.35243E-07;5.2225E-07
21.791666;5.35136E-07;5.22142E-07
21.833334;5.35028E-07;5.22033E-07
21.875;5.3492E-07;5.21924E-07
21.916666;5.3481E-07;5.21814E-07
21.958334;5.34701E-07;5.21703E-07
22;5.3459E-07;5.21592E-07
22.041666;5.34479E-07;5.2148E-07
22.083334;5.34366E-07;5.21366E-07
22.125;5.34254E-07;5.21253E-07
22.166666;5.3414E-07;5.21139E-07
22.208334;5.34026E-07;5.21024E-07
22.25;5.33912E-07;5.20908E-07
22.291666;5.33796E-07;5.20792E-07
22.333334;5.3368E-07;5.20675E-07
22.375;5.33563E-07;5.20557E-07
22.416666;5.33446E-07;5.20439E-07
22.458334;5.33328E-07;5.20321E-07
22.5;5.3321E-07;5.20201E-07
22.541666;5.33092E-07;5.20082E-07
22.583334;5.32973E-07;5.19962E-07
22.625;5.32854E-07;5.19842E-07
22.666666;5.32734E-07;5.19722E-07
22.708334;5.32615E-07;5.19602E-07
22.75;5.32495E-07;5.19481E-07
22.791666;5.32375E-07;5.1936E-07
22.833334;5.32255E-07;5.19239E-07
22.875;5.32135E-07;5.19118E-07
22.916666;5.32014E-07;5.18996E-07
22.958334;5.31893E-07;5.18874E-07
23;5.31772E-07;5.18752E-07
23.041666;5.31651E-07;5.1863E-07
23.083334;5.31529E-07;5.18508E-07
23.125;5.31407E-07;5.18385E-07
23.166666;5.31285E-07;5.18262E-07
23.208334;5.31163E-07;5.18139E-07
23.25;5.31041E-07;5.18015E-07
23.291666;5.30918E-07;5.17892E-07
23.333334;5.30795E-07;5.17768E-07
23.375;5.30672E-07;5.17644E-07
23.416666;5.30549E-07;5.17519E-07
23.458334;5.30425E-07;5.17395E-07
23.5;5.30302E-07;5.17271E-07
23.541666;5.30178E-07;5.17146E-07
23.583334;5.30055E-07;5.17022E-07
23.625;5.29931E-07;5.16898E-07
