TOPS        PRESSURE   Group Index   Group Description     
426.00000   40.00474   1             04.Jan 2022 - 00:00:00
426.50000   40.00489   1             04.Jan 2022 - 00:00:00
427.00000   40.00504   1             04.Jan 2022 - 00:00:00
427.50000   40.00518   1             04.Jan 2022 - 00:00:00
428.00000   40.00533   1             04.Jan 2022 - 00:00:00
428.50000   40.00548   1             04.Jan 2022 - 00:00:00
429.00000   40.00563   1             04.Jan 2022 - 00:00:00
429.50000   40.00578   1             04.Jan 2022 - 00:00:00
430.00000   40.00593   1             04.Jan 2022 - 00:00:00
430.50000   40.00608   1             04.Jan 2022 - 00:00:00
431.00000   40.00623   1             04.Jan 2022 - 00:00:00
431.50000   40.00639   1             04.Jan 2022 - 00:00:00
432.00000   40.00654   1             04.Jan 2022 - 00:00:00
432.50000   40.00670   1             04.Jan 2022 - 00:00:00
433.00000   40.00686   1             04.Jan 2022 - 00:00:00
433.50000   40.00702   1             04.Jan 2022 - 00:00:00
434.00000   40.00719   1             04.Jan 2022 - 00:00:00
434.50000   40.00736   1             04.Jan 2022 - 00:00:00
435.00000   40.00753   1             04.Jan 2022 - 00:00:00
435.50000   40.00771   1             04.Jan 2022 - 00:00:00
436.00000   40.00788   1             04.Jan 2022 - 00:00:00
436.50000   40.00807   1             04.Jan 2022 - 00:00:00
437.00000   40.00826   1             04.Jan 2022 - 00:00:00
437.50000   40.00846   1             04.Jan 2022 - 00:00:00
438.00000   40.00866   1             04.Jan 2022 - 00:00:00
438.50000   40.00888   1             04.Jan 2022 - 00:00:00
439.00000   40.00910   1             04.Jan 2022 - 00:00:00
439.50000   40.00933   1             04.Jan 2022 - 00:00:00
440.00000   40.00958   1             04.Jan 2022 - 00:00:00
440.50000   40.00984   1             04.Jan 2022 - 00:00:00
441.00000   40.01011   1             04.Jan 2022 - 00:00:00
441.50000   40.01041   1             04.Jan 2022 - 00:00:00
442.00000   40.01072   1             04.Jan 2022 - 00:00:00
442.50000   40.01105   1             04.Jan 2022 - 00:00:00
443.00000   40.01140   1             04.Jan 2022 - 00:00:00
443.50000   40.01178   1             04.Jan 2022 - 00:00:00
444.00000   40.01219   1             04.Jan 2022 - 00:00:00
444.50000   40.01263   1             04.Jan 2022 - 00:00:00
445.00000   40.01310   1             04.Jan 2022 - 00:00:00
445.50000   40.01360   1             04.Jan 2022 - 00:00:00
446.00000   40.01414   1             04.Jan 2022 - 00:00:00
446.50000   40.01473   1             04.Jan 2022 - 00:00:00
447.00000   40.01535   1             04.Jan 2022 - 00:00:00
447.50000   40.01603   1             04.Jan 2022 - 00:00:00
448.00000   40.01675   1             04.Jan 2022 - 00:00:00
448.50000   40.01751   1             04.Jan 2022 - 00:00:00
449.00000   40.01833   1             04.Jan 2022 - 00:00:00
449.50000   40.01919   1             04.Jan 2022 - 00:00:00
450.00000   40.02010   1             04.Jan 2022 - 00:00:00
450.50000   40.02104   1             04.Jan 2022 - 00:00:00
451.00000   40.02202   1             04.Jan 2022 - 00:00:00
451.50000   40.02303   1             04.Jan 2022 - 00:00:00
452.00000   40.02408   1             04.Jan 2022 - 00:00:00
452.50000   40.02515   1             04.Jan 2022 - 00:00:00
453.00000   40.02624   1             04.Jan 2022 - 00:00:00
453.50000   40.02735   1             04.Jan 2022 - 00:00:00
454.00000   40.02849   1             04.Jan 2022 - 00:00:00
454.50000   40.02964   1             04.Jan 2022 - 00:00:00
455.00000   40.03081   1             04.Jan 2022 - 00:00:00
455.50000   40.03199   1             04.Jan 2022 - 00:00:00
456.00000   40.03318   1             04.Jan 2022 - 00:00:00
456.50000   40.03439   1             04.Jan 2022 - 00:00:00
457.00000   40.03561   1             04.Jan 2022 - 00:00:00
457.50000   40.03683   1             04.Jan 2022 - 00:00:00
458.00000   40.03807   1             04.Jan 2022 - 00:00:00
458.50000   40.03931   1             04.Jan 2022 - 00:00:00
459.00000   40.04055   1             04.Jan 2022 - 00:00:00
459.50000   40.04181   1             04.Jan 2022 - 00:00:00
460.00000   40.04307   1             04.Jan 2022 - 00:00:00
460.50000   40.04433   1             04.Jan 2022 - 00:00:00
461.00000   40.04560   1             04.Jan 2022 - 00:00:00
461.50000   40.04687   1             04.Jan 2022 - 00:00:00
462.00000   40.04814   1             04.Jan 2022 - 00:00:00
462.50000   40.04942   1             04.Jan 2022 - 00:00:00
463.00000   40.05069   1             04.Jan 2022 - 00:00:00
463.50000   40.05197   1             04.Jan 2022 - 00:00:00
464.00000   40.05325   1             04.Jan 2022 - 00:00:00
464.50000   40.05454   1             04.Jan 2022 - 00:00:00
465.00000   40.05582   1             04.Jan 2022 - 00:00:00
465.50000   40.05711   1             04.Jan 2022 - 00:00:00
466.00000   40.05840   1             04.Jan 2022 - 00:00:00
466.50000   40.05968   1             04.Jan 2022 - 00:00:00
467.00000   40.06097   1             04.Jan 2022 - 00:00:00
467.50000   40.06226   1             04.Jan 2022 - 00:00:00
468.00000   40.06355   1             04.Jan 2022 - 00:00:00
468.50000   40.06484   1             04.Jan 2022 - 00:00:00
469.00000   40.06614   1             04.Jan 2022 - 00:00:00
469.50000   40.06743   1             04.Jan 2022 - 00:00:00
470.00000   40.06872   1             04.Jan 2022 - 00:00:00
470.50000   40.07001   1             04.Jan 2022 - 00:00:00
471.00000   40.07130   1             04.Jan 2022 - 00:00:00
471.50000   40.07260   1             04.Jan 2022 - 00:00:00
472.00000   40.07389   1             04.Jan 2022 - 00:00:00
472.50000   40.07518   1             04.Jan 2022 - 00:00:00
473.00000   40.07648   1             04.Jan 2022 - 00:00:00
473.50000   40.07777   1             04.Jan 2022 - 00:00:00
