TOPS        GAS_DEN    Group Index   Group Description     
406.00000   3.56993    2             31.Jan 2022 - 00:00:00
406.50000   3.58128    2             31.Jan 2022 - 00:00:00
407.00000   3.59358    2             31.Jan 2022 - 00:00:00
407.50000   3.60684    2             31.Jan 2022 - 00:00:00
408.00000   3.62110    2             31.Jan 2022 - 00:00:00
408.50000   3.63637    2             31.Jan 2022 - 00:00:00
409.00000   3.65266    2             31.Jan 2022 - 00:00:00
409.50000   3.67002    2             31.Jan 2022 - 00:00:00
410.00000   3.68845    2             31.Jan 2022 - 00:00:00
410.50000   3.70800    2             31.Jan 2022 - 00:00:00
411.00000   3.72868    2             31.Jan 2022 - 00:00:00
411.50000   3.75053    2             31.Jan 2022 - 00:00:00
412.00000   3.77357    2             31.Jan 2022 - 00:00:00
412.50000   3.79785    2             31.Jan 2022 - 00:00:00
413.00000   3.82340    2             31.Jan 2022 - 00:00:00
413.50000   3.85026    2             31.Jan 2022 - 00:00:00
414.00000   3.87846    2             31.Jan 2022 - 00:00:00
414.50000   3.90804    2             31.Jan 2022 - 00:00:00
415.00000   3.93906    2             31.Jan 2022 - 00:00:00
415.50000   3.97155    2             31.Jan 2022 - 00:00:00
416.00000   4.00556    2             31.Jan 2022 - 00:00:00
416.50000   4.04115    2             31.Jan 2022 - 00:00:00
417.00000   4.07836    2             31.Jan 2022 - 00:00:00
417.50000   4.11725    2             31.Jan 2022 - 00:00:00
418.00000   4.15787    2             31.Jan 2022 - 00:00:00
418.50000   4.20028    2             31.Jan 2022 - 00:00:00
419.00000   4.24455    2             31.Jan 2022 - 00:00:00
419.50000   4.29075    2             31.Jan 2022 - 00:00:00
420.00000   4.33892    2             31.Jan 2022 - 00:00:00
420.50000   4.38916    2             31.Jan 2022 - 00:00:00
421.00000   4.44152    2             31.Jan 2022 - 00:00:00
421.50000   4.49608    2             31.Jan 2022 - 00:00:00
422.00000   4.55293    2             31.Jan 2022 - 00:00:00
422.50000   4.61215    2             31.Jan 2022 - 00:00:00
423.00000   4.67381    2             31.Jan 2022 - 00:00:00
423.50000   4.73801    2             31.Jan 2022 - 00:00:00
424.00000   4.80484    2             31.Jan 2022 - 00:00:00
424.50000   4.87439    2             31.Jan 2022 - 00:00:00
425.00000   4.94676    2             31.Jan 2022 - 00:00:00
425.50000   5.02206    2             31.Jan 2022 - 00:00:00
426.00000   5.10039    2             31.Jan 2022 - 00:00:00
426.50000   5.18186    2             31.Jan 2022 - 00:00:00
427.00000   5.26658    2             31.Jan 2022 - 00:00:00
427.50000   5.35467    2             31.Jan 2022 - 00:00:00
428.00000   5.44625    2             31.Jan 2022 - 00:00:00
428.50000   5.54144    2             31.Jan 2022 - 00:00:00
429.00000   5.64038    2             31.Jan 2022 - 00:00:00
429.50000   5.74320    2             31.Jan 2022 - 00:00:00
430.00000   5.85003    2             31.Jan 2022 - 00:00:00
430.50000   5.96101    2             31.Jan 2022 - 00:00:00
431.00000   6.07630    2             31.Jan 2022 - 00:00:00
431.50000   6.19602    2             31.Jan 2022 - 00:00:00
432.00000   6.32035    2             31.Jan 2022 - 00:00:00
432.50000   6.44942    2             31.Jan 2022 - 00:00:00
